ID,html_link,Rater_1_Label,Rater_1_Comments,Rater_2_Label,Rater_2_Comments,Rater_3_Label,Rater_3's Comments,Rater_4_Label,Rater_4_Comments,Rater_5_Label,Rater_5_Comments,List of Labels,Final Taxonomy Label
GH 2.1,https://github.com/ignc-research/arena-rosnav/commit/b8cd8d12674fa31c626e4d2a43d087bc272d2768,Suboptimal Reward Function,"flatland move model fix, more efficient reward calculation, episode r…
…eset fix",Suboptimal Reward Function,"To check: we need an adjective in this label, maybe ""suboptimal"" as it seems there is a reward function, it just gets changed. There are changes other than ""reward"", but I could not tie them to anything",Suboptimal Reward Function,,Suboptimal Reward Function,,Suboptimal Reward Function,,Unrelated,Suboptimal Reward Function
GH 2.2,https://github.com/ignc-research/arena-rosnav/commit/b8cd8d12674fa31c626e4d2a43d087bc272d2768,Missing reset/close environment,,Missing reset/close environment,,Missing reset/close environment,,Missing reset/close environment,,Missing reset/close environment,,Missing stepping the environment,Missing reset/close environment
GH 4,https://github.com/Farama-Foundation/HighwayEnv/commit/008f01ea03a386494372f82d61e32df1ac8aeb91,Suboptimal Reward Function,"I think this is reward function not suboptimal reward shaping 
Fix episode termination reward in highway environment
",Suboptimal Reward Function,"I do not see how this is about shaping. Also, there is a change in is_terminal. Could that indicate smth about terminal state? ",Suboptimal Reward Function,,Suboptimal Reward Function,design?,Suboptimal Reward Function,,Suboptimal learning rate,Suboptimal Reward Function
GH 5,https://github.com/utiasDSL/safe-control-gym/commit/bd911747bdf0a87969333376cc9f732c43bbeeeb,Suboptimal Reward Function,"Adding obs_goal_horizon to cartpole and fixing reward
",Suboptimal Reward Function,"This seems to add smth about observation_goal_horizon,  but also changes the reward",Suboptimal Reward Function,,Suboptimal Reward Function,they now have 2 tasks and reeward was not adapted,Suboptimal Reward Function,,Missing terminal state,Suboptimal Reward Function
GH 7,https://github.com/ugr-sail/sinergym/issues/241,Suboptimal Reward Function,Reward Function,Suboptimal Reward Function,"I am not 100% sure about this, there is a relation to reward, but it is not very direct. The thing that convinces me is that they have assigned the tag ""reward"" to this bug. ",Suboptimal Reward Function,,Suboptimal Reward Function,I agree with Rater_3 it is similar to the issue where we had mapping to the speed,Suboptimal Reward Function,,Missing reset/close environment,Suboptimal Reward Function
GH 17,https://github.com/HumanCompatibleAI/imitation/commit/9526298f8d43c719bdb027f4e14691f860d46bc1,Unnecessary reward normalisation,"This is unclear to me
* Fix bugs
* fix bugs
* fix min_{timesteps=>episodes}",Unnecessary reward normalisation,"Huge commit, the commit title says smth about reward normalisation, but I could not locate the code that changes normalisation in an obvious way",Unnecessary reward normalisation,Normalization/Scale?,Unnecessary reward normalisation,,Unnecessary reward normalisation,,Missing exploration,Unnecessary reward normalisation
GH 18,https://github.com/HumanCompatibleAI/imitation/commit/04e1ed61c6332768a549f4e0c0b3d996428791c1,Wrapping reward before normalization,"* Bugfix due to steps => I see code for this but no idea what's going on
* Bugfix: apply reward wrapping before normalizing observations
",Wrapping reward before normalization,"I can see the code for ""apply reward wrapping before normalizing observations"". Does this lead to changes in reward scale? We need an adjective for this label too.",Wrapping reward before normalization,,Wrapping reward before normalization,,Wrapping reward before normalization,,Suboptimal exploration rate,Wrapping reward after observation normalisation
GH 19,https://github.com/DLR-RM/stable-baselines3/commit/dd6e361204e24932184a4a6b05ce3b91d29671c7,Selecting a non-deterministic trained policy,"      action, _states = model.predict(obs, deterministic=True)",Selecting a non-deterministic trained policy,,Selecting a non-deterministic trained policy,,Selecting a non-deterministic trained policy,,Selecting a non-deterministic trained policy,,Wrong update rule,Misconfiguration of the agent to a stochastic inference
GH 22,https://github.com/HumanCompatibleAI/imitation/commit/005c15fe737ac558d13aab15037cf9615ca8a83b,Missing check for dones,"* Fixed bug in buffer.py
* Fix not checking for dones
* Fixed n_steps (OnPolicyAlgorithm)
* Fix density.py::DensityAlgorithm._set_demo_from_batch
* Fix issue with next(iter(iterable))
* Fix_get_first_iter_element and add tests
* Bugfix in BC and tests -- masked as previously iterator ran out too early!
",Missing check for dones,,Missing check for dones,,Missing check for dones,,Missing check for dones,,Suboptimal network update frequency,Missing check for dones
GH 24,https://github.com/DLR-RM/rl-baselines3-zoo/commit/312724f7e7efad18c1393a22cf1ca4ef08573448,Missing reward normalisation,"* Fix reward normalization when doing hyperparameter optimization
* Fix reward norm
",Missing reward normalisation,,Missing reward normalisation,Normalization/Scale?,Missing reward normalisation,Normalisation of reward?,Missing reward normalisation,,Wrong network update,Missing reward normalisation/scaling
GH 28,https://github.com/HumanCompatibleAI/imitation/pull/184,Pontential of terminal step not fixed to zero,,Pontential of terminal step not fixed to zero,,Pontential of terminal step not fixed to zero,,Pontential of terminal step not fixed to zero,,Pontential of terminal step not fixed to zero,,Wrong calculation of gradients,Potential of terminal step not fixed to zero
GH 32,https://github.com/DLR-RM/stable-baselines3/issues/597,Suboptimal network update frequency,,Suboptimal network update frequency,Can't find things related to the other 3 labels,Suboptimal network update frequency,,Suboptimal network update frequency,,Suboptimal network update frequency,,Wrong output,Suboptimal network update frequency
GH 34,https://github.com/DLR-RM/stable-baselines3/issues/597,Incorrect learning_start,,Incorrect learning_start,,Incorrect learning_start,,Incorrect learning_start,,Incorrect learning_start,"""learning_starts and target_update_interval are above each budget total_timesteps for individual call for .learn()""",Wrong activation for output,Suboptimal learning start 
GH 36,https://github.com/DLR-RM/stable-baselines3/pull/198,Biased target network,"Framework issue, but is a good issue",Biased target network,"To check: should we make it more precise to underline that it is the features that are shared. ""Fixes the issue that the feature extractor was shared between network and target.""",Biased target network,,Biased target network,not sure what is feature extractor,Biased target network,* Fix feature extractor bug,Unclear,Biased target network
GH 38,https://github.com/DLR-RM/stable-baselines3/issues/627,Incorrect done flag,,Incorrect done flag,To check: should we come up with a better label?,Incorrect done flag,,Incorrect done flag,,Incorrect done flag,,Reward Function,"Flags indicating successful termination or
timeout not set properly "
GH 42,https://github.com/HumanCompatibleAI/imitation/pull/335,Incorrect done flag,,Incorrect done flag,,Incorrect done flag,RL with infinite horizon,Incorrect done flag,,Incorrect done flag,,Replay Buffer Design [Ignore this],"Flags indicating successful termination or
timeout not set properly "
GH 43,https://github.com/HumanCompatibleAI/imitation/pull/323,Pontential of terminal step not fixed to zero,What's the issue over here,Pontential of terminal step not fixed to zero,It is not clear to me,Pontential of terminal step not fixed to zero,RL with infinite horizon: https://github.com/HumanCompatibleAI/imitation/pull/323/commits/b06d354d507022491d332999a128b295891a1459,Pontential of terminal step not fixed to zero,not sure,Pontential of terminal step not fixed to zero,re-write the label,Non MDP Problem Formulation,Potential of terminal step not fixed to zero
